Name,Genre,Location
Name,Genre,Location
4000 Chinese Restaurant,Chinese Cuisine , Tokyo
Abon,Tonkatsu/Fried foods , Hyogo
acá 1°,Spanish , Tokyo
Aji Arai,Japanese Cuisine , Oita
Ajidocoro,Japanese Cuisine , Hokkaido
Ajihiro,Japanese Cuisine , Tokyo
Ajiman,Seafood , Tokyo
AKAI,Innovative/Fusion , Hiroshima
Akasaka Kikunoi,Japanese Cuisine , Tokyo
aki nagao,French , Hokkaido
akordu,Innovative/Fusion , Nara
Amaki,Sushi , Aichi
Amamoto,Sushi , Tokyo
Amegen,Seafood , Saga
Ankyu,Japanese Cuisine , Kyoto
AO,Innovative/Fusion , Fukuoka
Ao,Innovative/Fusion , Tokyo
Aoki,Japanese Cuisine , Osaka
APICIUS,French , Tokyo
Arai,Sushi , Tokyo
Araki,Tempura , Hokkaido
Arima,Sushi , Hokkaido
ASAHINA Gastronome,French , Tokyo
AZUR et MASA UEKI,French , Tokyo
bb9,Spanish , Hyogo
Bleston Court Yukawatan,French , Nagano
Bon.nu,French , Tokyo
Bouquet de France,French , Aomori
Cá sento,Innovative/Fusion , Hyogo
CAINOYA,Innovative/Fusion , Kyoto
Casa del cibo,Italian , Aomori
ca’enne,Italian , Nagano
CERCA TROVA,Italian , Miyazaki
Chez Inno,French , Tokyo
Chikamatsu,Sushi , Fukuoka
Chiso Nakamura,Japanese Cuisine , Fukuoka
Chiso Nishikenichi,French , Shizuoka
Chiso Sottakuito,Japanese Cuisine , Hiroshima
CHIUnE,Innovative/Fusion , Tokyo
Choyo,Chinese Cuisine , Tokyo
CÔTE D'OR,French , Tokyo
Cucina Italiana Gallura,Italian , Aichi
Daiichi,Seafood , Kyoto
Daimon,Sushi , Toyama
DEN,Creative cuisine , Tokyo
Dojin,Japanese Cuisine , Kyoto
Ebisu YORONIKU,Yakiniku/Meat dishes , Tokyo
Eigetsu,Japanese Cuisine , Tokyo
En,Sushi , Okayama
ESqUISSE,French , Tokyo
été,Innovative/Fusion , Tokyo
f,Italian , Akita
Florilège,French , Tokyo
Fogliolina della Porta Fortuna,Italian , Nagano
FUJI,Japanese Cuisine , Shizuoka
Fujii,Japanese Cuisine , Toyama
Fujiya 1935,Innovative/Fusion , Osaka
Fujiyama,Japanese Cuisine , Tokyo
Fukamachi,Tempura , Tokyo
Fukuda,Japanese Cuisine , Tokyo
Fukunaga,Yakiniku/Meat dishes , Shiga
Funachef,French , Osaka
FUREIKA,Chinese Cuisine , Tokyo
Furuta,Japanese Cuisine , Kyoto
Furuta,Chinese Cuisine , Tokyo
Gahojin,Sushi , Fukuoka
Gamou,Udon , Kagawa
Gessen,Chinese Cuisine , Osaka
Ginza Kitafuku,Seafood , Tokyo
giueme,Italian , Akita
GOURMANDISE,French , Tokyo
Grand rocher,French , Osaka
Grill French,Other , Kyoto
Gyoten,Sushi , Fukuoka
Hachisen,Japanese Cuisine , Aichi
HAGI,French , Fukushima
HAJIME,Innovative/Fusion , Osaka
Hakkoku,Sushi , Tokyo
Hanaichi,Japanese Cuisine , Aichi
Haramasa,Japanese Cuisine , Tokyo
Harutaka,Sushi , Tokyo
Hasegawa Minoru,Innovative/Fusion , Tokyo
Hashiguchi,Sushi , Tokyo
Hashimoto,Sushi , Tokyo
Hassun,Japanese Cuisine , Kyoto
Hato,Sushi , Tokyo
Hatsunezushi,Sushi , Tokyo
Hayashi,Japanese Cuisine , Kyoto
Higashiyama Ogata,Japanese Cuisine , Kyoto
Higuchi,Japanese Cuisine , Tokyo
Hinode,Japanese Cuisine , Mie
Hinotori,Chinese Cuisine , Osaka
Hirasansou,Japanese Cuisine , Shiga
HIRO NAGOYA,Yakiniku/Meat dishes , Aichi
Hirokado,Japanese Cuisine , Oita
Hisada,Sushi , Okayama
Hitotsu,Sushi , Miyazaki
Hitsujiya,Yakiniku/Meat dishes , Yamagata
Hiwatashi,Japanese Cuisine , Kyoto
Hiyama,Japanese Cuisine , Saitama
4000 Chinese Restaurant,Chinese Cuisine , Tokyo
Abon,Tonkatsu/Fried foods , Hyogo
acá 1°,Spanish , Tokyo
Aji Arai,Japanese Cuisine , Oita
Ajidocoro,Japanese Cuisine , Hokkaido
Ajihiro,Japanese Cuisine , Tokyo
Ajiman,Seafood , Tokyo
AKAI,Innovative/Fusion , Hiroshima
Akasaka Kikunoi,Japanese Cuisine , Tokyo
aki nagao,French , Hokkaido
akordu,Innovative/Fusion , Nara
Amaki,Sushi , Aichi
Amamoto,Sushi , Tokyo
Amegen,Seafood , Saga
Ankyu,Japanese Cuisine , Kyoto
AO,Innovative/Fusion , Fukuoka
Ao,Innovative/Fusion , Tokyo
Aoki,Japanese Cuisine , Osaka
APICIUS,French , Tokyo
Arai,Sushi , Tokyo
Araki,Tempura , Hokkaido
Arima,Sushi , Hokkaido
ASAHINA Gastronome,French , Tokyo
AZUR et MASA UEKI,French , Tokyo
bb9,Spanish , Hyogo
Bleston Court Yukawatan,French , Nagano
Bon.nu,French , Tokyo
Bouquet de France,French , Aomori
Cá sento,Innovative/Fusion , Hyogo
CAINOYA,Innovative/Fusion , Kyoto
Casa del cibo,Italian , Aomori
ca’enne,Italian , Nagano
CERCA TROVA,Italian , Miyazaki
Chez Inno,French , Tokyo
Chikamatsu,Sushi , Fukuoka
Chiso Nakamura,Japanese Cuisine , Fukuoka
Chiso Nishikenichi,French , Shizuoka
Chiso Sottakuito,Japanese Cuisine , Hiroshima
CHIUnE,Innovative/Fusion , Tokyo
Choyo,Chinese Cuisine , Tokyo
CÔTE D'OR,French , Tokyo
Cucina Italiana Gallura,Italian , Aichi
Daiichi,Seafood , Kyoto
Daimon,Sushi , Toyama
DEN,Creative cuisine , Tokyo
Dojin,Japanese Cuisine , Kyoto
Ebisu YORONIKU,Yakiniku/Meat dishes , Tokyo
Eigetsu,Japanese Cuisine , Tokyo
En,Sushi , Okayama
ESqUISSE,French , Tokyo
été,Innovative/Fusion , Tokyo
f,Italian , Akita
Florilège,French , Tokyo
Fogliolina della Porta Fortuna,Italian , Nagano
FUJI,Japanese Cuisine , Shizuoka
Fujii,Japanese Cuisine , Toyama
Fujiya 1935,Innovative/Fusion , Osaka
Fujiyama,Japanese Cuisine , Tokyo
Fukamachi,Tempura , Tokyo
Fukuda,Japanese Cuisine , Tokyo
Fukunaga,Yakiniku/Meat dishes , Shiga
Funachef,French , Osaka
FUREIKA,Chinese Cuisine , Tokyo
Furuta,Japanese Cuisine , Kyoto
Furuta,Chinese Cuisine , Tokyo
Gahojin,Sushi , Fukuoka
Gamou,Udon , Kagawa
Gessen,Chinese Cuisine , Osaka
Ginza Kitafuku,Seafood , Tokyo
giueme,Italian , Akita
GOURMANDISE,French , Tokyo
Grand rocher,French , Osaka
Grill French,Other , Kyoto
Gyoten,Sushi , Fukuoka
Hachisen,Japanese Cuisine , Aichi
HAGI,French , Fukushima
HAJIME,Innovative/Fusion , Osaka
Hakkoku,Sushi , Tokyo
Hanaichi,Japanese Cuisine , Aichi
Haramasa,Japanese Cuisine , Tokyo
Harutaka,Sushi , Tokyo
Hasegawa Minoru,Innovative/Fusion , Tokyo
Hashiguchi,Sushi , Tokyo
Hashimoto,Sushi , Tokyo
Hassun,Japanese Cuisine , Kyoto
Hato,Sushi , Tokyo
Hatsunezushi,Sushi , Tokyo
Hayashi,Japanese Cuisine , Kyoto
Higashiyama Ogata,Japanese Cuisine , Kyoto
Higuchi,Japanese Cuisine , Tokyo
Hinode,Japanese Cuisine , Mie
Hinotori,Chinese Cuisine , Osaka
Hirasansou,Japanese Cuisine , Shiga
HIRO NAGOYA,Yakiniku/Meat dishes , Aichi
Hirokado,Japanese Cuisine , Oita
Hisada,Sushi , Okayama
Hitotsu,Sushi , Miyazaki
Hitsujiya,Yakiniku/Meat dishes , Yamagata
Hiwatashi,Japanese Cuisine , Kyoto
Hiyama,Japanese Cuisine , Saitama
HOMMAGE,French , Tokyo
Honkogetsu,Japanese Cuisine , Osaka
hôtel de yoshino,French , Wakayama
Hyotei Honten,Japanese Cuisine , Kyoto
Ichikawa,Sushi , Tokyo
Ichirin Hanare,Chinese Cuisine , Kanagawa
Ichita,Japanese Cuisine , Tokyo
Ifuki,Japanese Cuisine , Kyoto
Iida,Japanese Cuisine , Kyoto
IIDASHOUTEN,Ramen , Kanagawa
Ikko,Sushi , Hokkaido
Ikkoan,Sweets , Tokyo
il AOYAMA,Italian , Aichi
Imoto,Japanese Cuisine , Fukuoka
Inomata,Sushi , Saitama
Installation Table ENSO L'asymetrie du calme,French , Ishikawa
Ishikawa,Japanese Cuisine , Tokyo
Isshinzushi Koyo,Sushi , Miyazaki
Ito,Sushi , Fukushima
Ito,Yakiniku/Meat dishes , Oita
iwanagashokudo,Other , Miyazaki
Iyuki,Japanese Cuisine , Tokyo
Jambo Hanare,Yakiniku/Meat dishes , Tokyo
Jikyuan,Soba , Ibaraki
Jinsei,Sushi , Osaka
JO,Yakiniku/Meat dishes , Tokyo
Joël Robuchon,French , Tokyo
Jubei,Sushi , Fukui
K+,Italian , Tokyo
Kabuto,Unagi , Tokyo
Kadowaki,Japanese Cuisine , Tokyo
KAHALA,Creative cuisine , Osaka
Kaikatei,Chinese Cuisine , Gifu
kamoshiya Kusumoto,Creative cuisine , Osaka
Kaniyoshi,Seafood , Tottori
Kaoru HIROO,Innovative/Fusion , Tokyo
Karatsu,Japanese Cuisine , Kyoto
Kashiwaya,Japanese Cuisine , Osaka
Kataori,Japanese Cuisine , Ishikawa
Katatsumuri,Japanese Cuisine , Gifu
kate cuore,Italian , Saga
Kawaguchi,Japanese Cuisine , Kyoto
Kawaki,Seafood , Fukui
Kawamura,Yakiniku/Meat dishes , Tokyo
Kawasemi,Japanese Cuisine , Fukushima
Kawashima,Japanese Cuisine , Ishikawa
Kibatani,Sushi , Ishikawa
Kikunoi Honten,Japanese Cuisine , Kyoto
Kikuzushi,Sushi , Fukuoka
Kimiya,Yakiniku/Meat dishes , Nara
Kimoto,Japanese Cuisine , Tokyo
Kimura,Sushi , Tokyo
Kinoshita,Italian , Hyogo
Kinryusan,Yakiniku/Meat dishes , Tokyo
Kioicho Mitani,Sushi , Tokyo
Kitajima,Japanese Cuisine , Kanagawa
Kitajimatei,French , Tokyo
Kitchen Ribbon,Yakiniku/Meat dishes , Aichi
kitchen Toshiki,Other , Aichi
Kiu,Sushi , Kyoto
Kiyama,Japanese Cuisine , Kyoto
Kiyota,Sushi , Tokyo
Kizuna,Sushi , Osaka
Kobanzushi,Sushi , Fukushima
Kodaiji Wakuden,Japanese Cuisine , Kyoto
Kohaku,Japanese Cuisine , Tokyo
Koho,Chinese Cuisine , Tokyo
Komada,Sushi , Mie
Komatsu Yasuke,Sushi , Ishikawa
Konishiya,Japanese Cuisine , Hyogo
Korakuan,Japanese Cuisine , Shiga
Korian,Japanese Cuisine , Shiga
Koshiba,Japanese Cuisine , Tokyo
Kotan,Sushi , Fukuoka
Kuishinbo YAMANAKA,Yakiniku/Meat dishes , Kyoto
Kurogi,Japanese Cuisine , Tokyo
Kurumasushi,Sushi , Ehime
Kusunoki,Tempura , Tokyo
Kyo Seika,Chinese Cuisine , Kyoto
Kyodaizushi,Sushi , Niigata
Kyotenjin Noguchi,Japanese Cuisine , Kyoto
KYOTO KITCHO Arashiyama,Japanese Cuisine , Kyoto
Kyu,Yakiniku/Meat dishes , Akita
L'atelier ABE,French , Tokushima
L'Atelier de NOTO,French , Ishikawa
L'atelier de Plaisir,Other , Tokyo
L'écrin,French , Tokyo
L'Effervescence,French , Tokyo
L'évo,Innovative/Fusion , Toyama
L'OSIER,French , Tokyo
La Baie,French , Osaka
La Blanche,French , Tokyo
La Clairière,French , Tokyo
La Kanro,French , Osaka
LA VAGABONDE,French , Aichi
LATURE,French , Tokyo
Le Mange-Tout,French , Tokyo
le-sorcier,French , Yamaguchi
Les champs d'or,French , Kyoto
Les Saisons,French , Tokyo
Maeda,Japanese Cuisine , Kyoto
Maison KEI,French , Shizuoka
MAISON LAFITE,French , Fukuoka
Makimura,Japanese Cuisine , Tokyo
Makino,Seafood , Tokyo
MAKINONCÎ,French , Ishikawa
Makitorishinkobe,Yakitori/Poultry , Tokyo
MANGER,Tonkatsu/Fried foods , Osaka
Maruyasu,Seafood , Hyogo
Masachan,Yakiniku/Meat dishes , Osaka
Matayoshi,Japanese Cuisine , Kyoto
Matsukawa,Japanese Cuisine , Tokyo
Matsuyama,Japanese Cuisine , Fukuoka
Mekumi,Sushi , Ishikawa
Mikadoya,Japanese Cuisine , Shimane
Mikasa,Tempura , Kanagawa
Mikawa,Tempura , Akita
Mikawa Zezankyo,Tempura , Tokyo
Minato,Sushi , Hokkaido
Mita,Japanese Cuisine , Kyoto
Mitaka,Japanese Cuisine , Tokyo
Mitani,Sushi , Tokyo
Mitsuyasu,Japanese Cuisine , Kyoto
Miyamasou,Japanese Cuisine , Kyoto
Miyamoto,Japanese Cuisine , Osaka
Miyamoto,Soba , Shizuoka
Miyasaka,Japanese Cuisine , Tokyo
Miyoshi,Yakiniku/Meat dishes , Kyoto
Mizai,Japanese Cuisine , Kyoto
Mizukami,Sushi , Tokyo
Mizuki,Yakitori/Poultry , Gifu
Mokkosu,Tempura , Gunma
Molière,French , Hokkaido
Momen,Japanese Cuisine , Osaka
MOTOÏ,French , Kyoto
Mumyo,Japanese Cuisine , Nagano
Myoken Ishiharaso Shokusai Ishikura,Japanese Cuisine , Kagoshima
Nabeno-Ism,French , Tokyo
NAKADO,French , Hiroshima
NAKAHARA,Yakiniku/Meat dishes , Tokyo
Nakajo,Sushi , Kanagawa
Nakamura,Japanese Cuisine , Kyoto
Nakamura,Steak/Teppanyaki , Tokyo
Nakashima,Japanese Cuisine , Hiroshima
Namba,Sushi , Tokyo
Nanachome,Yakitori/Poultry , Tokyo
Narikura,Tonkatsu/Fried foods , Tokyo
NARISAWA,Innovative/Fusion , Tokyo
Naruse,Tempura , Shizuoka
Nawaya,Japanese Cuisine , Kyoto
Naz,Italian , Nagano
Niitome,Tempura , Aichi
Nikon,Japanese Cuisine , Nara
Nikuya Setsugekka Nagoya,Yakiniku/Meat dishes , Aichi
Nikuya Tanaka Ginza,Yakiniku/Meat dishes , Tokyo
Ninshuro,Chinese Cuisine , Kyoto
Nishi,Japanese Cuisine , Kyoto
Nishibuchi Hanten,Chinese Cuisine , Kyoto
Nishikawa,Japanese Cuisine , Kyoto
NK,Japanese Cuisine , Tokyo
No Name,Italian , Ehime
Nozawa,Japanese Cuisine , Aichi
Obana,Sushi , Gunma
Ode,French , Tokyo
Oga,Sushi , Osaka
Ogata,Japanese Cuisine , Kyoto
Ogawa,Japanese Cuisine , Kyoto
Ogino,Japanese Cuisine , Tokyo
Ohata,Sushi , Osaka
OHKUSA,Yakitori/Poultry , Tokyo
Oishi,French , Tokyo
Omino,Yakitori/Poultry , Tokyo
Onjaku,Japanese Cuisine , Shizuoka
Ono,Japanese Cuisine , Osaka
Onza,Yakitori/Poultry , Shiga
ORTO,Innovative/Fusion , Kyoto
Osamu,Sushi , Fukuoka
Osamuchan,Yakiniku/Meat dishes , Osaka
OSTERIA ENOTECA DA SASINO,Italian , Aomori
Otagi,Japanese Cuisine , Kyoto
Otomezushi,Sushi , Ishikawa
Otowa restaurant,French , Tochigi
Owatari,Japanese Cuisine , Kyoto
pâtisserie Paris S'éveille,Sweets , Tokyo
PÂTISSERIE RYOCO,Sweets , Tokyo
PELLEGRINO,Italian , Tokyo
pesceco,Innovative/Fusion , Nagasaki
Point,French , Osaka
PRESENTE Sugi,Italian , Chiba
Quintessence,French , Tokyo
QUINTOCANTO,Italian , Osaka
Raimon,Yakiniku/Meat dishes , Tokyo
Rakuraku,Udon , Osaka
Rantei Vivian,Japanese Cuisine , Fukushima
Reminiscence,French , Aichi
Ren Mishina,Japanese Cuisine , Tokyo
Renge Equriosity,Chinese Cuisine , Tokyo
respiración,Spanish , Ishikawa
Restaurant La FinS,French , Tokyo
RESTAURANT Ohtsu,French , Ibaraki
RESTAURANT Ryuzu,French , Tokyo
Restaurant Sola,French , Fukuoka
Restaurant UOZEN,French , Niigata
ristorante NAKAMOTO,Italian , Kyoto
Rokkan,Japanese Cuisine , Tokyo
RYORIYA STEPHAN PANTEL,French , Kyoto
RyuGin,Japanese Cuisine , Tokyo
Ryujiro,Sushi , Tokyo
Saeki Hanten,Chinese Cuisine , Tokyo
SAGRA,Italian , Hokkaido
Saika,Chinese Cuisine , Kyoto
Saito,Sushi , Tokyo
Sakagawa,Japanese Cuisine , Kyoto
Sakai,Sushi , Fukuoka
Sangencha,Japanese Cuisine , Kyoto
Sanroku,Yakitori/Poultry , Kumamoto
Sanshin,Sushi , Osaka
SASAKI,Japanese Cuisine , Kyoto
Sato,Japanese Cuisine , Fukuoka
SATO Briand Honten,Yakiniku/Meat dishes , Tokyo
SATO Briand Nigo,Yakiniku/Meat dishes , Tokyo
SATO Briand Sango,Yakiniku/Meat dishes , Tokyo
SATO-BRI DA,Yakiniku/Meat dishes , Tokyo
Sawada,Sushi , Tokyo
Sazenka,Chinese Cuisine , Tokyo
Seirin,Japanese Cuisine , Shizuoka
Seiryuen,Yakiniku/Meat dishes , Tokyo
SEIZAN,Japanese Cuisine , Tokyo
SEN,Japanese Cuisine , Kyoto
Senpachi,Sushi , Kumamoto
SENTI.U,Italian , Kagoshima
Senyo,Japanese Cuisine , Aomori
SÉZANNE,French , Tokyo
Shimazu,Sushi , Tokyo
Shimbashi Hoshino,Japanese Cuisine , Tokyo
Shimbashi Shimizu,Sushi , Tokyo
Shimizu,Japanese Cuisine , Aichi
shimoyamitenaeizuru,Innovative/Fusion , Hokkaido
Shinchaya,Japanese Cuisine , Iwate
Shinohara,Japanese Cuisine , Tokyo
ShinoiS,Chinese Cuisine , Tokyo
Shintaku,Japanese Cuisine , Niigata
Shinzenbi,Chinese Cuisine , Aichi
Shofukuro Honten,Japanese Cuisine , Shiga
Shogetsu,Sweets , Kyoto
SHÓKUDŌ YArn,Innovative/Fusion , Ishikawa
Shokuzen Abe,Japanese Cuisine , Tokyo
Shunseki Suzue,Japanese Cuisine , Kyoto
Shunsuke,Sushi , Tokyo
Simplicité,French , Tokyo
Sincère,French , Tokyo
Sizen Mukuan,Japanese Cuisine , Wakayama
Sobiki,Japanese Cuisine , Hiroshima
Sojiki Nakahigashi,Japanese Cuisine , Kyoto
Sonoji,Tempura , Tokyo
Sottaku Tsukamoto,Japanese Cuisine , Kyoto
Souan Nabeshima,Japanese Cuisine , Saga
Sous-sus,French , Akita
STEAK HOUSE Baron,Yakiniku/Meat dishes , Kumamoto
Sudo Haruyoshi,Yakiniku/Meat dishes , Fukuoka
Suetomi,Japanese Cuisine , Tokyo
SUGALABO,Innovative/Fusion , Tokyo
SUGALABO V,French , Osaka
Sugaya,Sushi , Tokyo
Sugita,Sushi , Tokyo
Sukiyabashi Jiro,Sushi , Tokyo
Sushi Josuke,Sushi , Hyogo
Sushiei,Sushi , Chiba
Sushijin,Sushi , Toyama
Sushikin,Sushi , Hokkaido
Sushikoma,Sushi , Akita
Sushimichi Sakurada,Sushi , Aichi
Sushinokura,Sushi , Hokkaido
Sushisai Wakichi,Sushi , Hokkaido
Sushisho,Sushi , Tokyo
Sushisho Nomura,Sushi , Kagoshima
Sushisho Saito,Sushi , Tokyo
Sushishunbi Nishikawa,Sushi , Aichi
Sutaminaen,Yakiniku/Meat dishes , Tokyo
Suyama,Japanese Cuisine , Hokkaido
Suzaki Shokuryohinten,Udon , Kagawa
Suzuki,Sushi , Tokyo
Suzutashiki,Japanese Cuisine , Tokyo
TACUBO,Italian , Tokyo
Tada,Sushi , Osaka
Tagawa,Japanese Cuisine , Kyoto
Tagetsu,Japanese Cuisine , Tokyo
Takajo Kotobuki,Yakitori/Poultry , Tokyo
Takamitsu,Sushi , Tokyo
Takamura,Japanese Cuisine , Akita
Takaoka,Sushi , Chiba
Takarazushibunten,Sushi , Akita
Takeuchi,Tempura , Fukuoka
Takiya,Tempura , Tokyo
Takumi Shingo,Sushi , Tokyo
Tamawarai,Soba , Tokyo
Tamura,Asian/Ethnic/Curry , Fukuoka
Tanakaryokan,Seafood , Yamaguchi
Tanimoto,Japanese Cuisine , Tokyo
Tenhaku,Tempura , Chiba
